speciesCode,howManyAtleast,howManyAtmost,present,howManyStr,obsId,exoticCategory,subId,locName,obsDt,userDisplayName,mediaCounts,comments,obsAux
gragoo,4,4,False,4,OBS4894848498,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
mutswa,2,2,False,2,OBS4894848503,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
comshe,4,4,False,4,OBS4894848506,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
gadwal,10,10,False,10,OBS4894848500,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
mallar3,20,20,False,20,OBS4894848495,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
tufduc,1,1,False,1,OBS4894848510,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
comeid,250,250,False,250,OBS4894848496,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
cowpig1,10,10,False,10,OBS4894919042,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
eurcoo,2,2,False,2,OBS4894848508,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
bkbplo,20,20,False,20,OBS4894848501,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
norlap,300,300,False,300,OBS4894848489,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
eurcur,2,2,False,2,OBS4894848492,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,{'P': 1},,
batgod,30,30,False,30,OBS4894848494,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,{'P': 1},,
redkno,1,1,False,1,OBS4894848509,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,{'P': 1},,
ruff,3,3,False,3,OBS4894848497,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,{'P': 3},,
bkhgul,20,20,False,20,OBS4894848491,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
larus,20,20,False,20,OBS4894848490,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
santer1,3,3,False,3,OBS4894848507,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,{'P': 2},,
eurmag1,15,15,False,15,OBS4894848499,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
comchi1,1,1,False,1,OBS4894848505,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
winwre4,1,1,False,1,OBS4894848504,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
eurbla,7,7,False,7,OBS4894848493,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
eurgol,7,7,False,7,OBS4894848502,,S394876267,Musselburgh Lagoons,2026-09-21 10:03,Jared Tan,,,
gragoo,80,80,False,80,OBS4894765378,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
rocpig1,3,3,False,3,OBS4894765392,N,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
cowpig1,45,45,False,45,OBS4894765387,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
eurmag1,14,14,False,14,OBS4894765396,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
rook1,10,10,False,10,OBS4894765382,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
carcro1,2,2,False,2,OBS4894765395,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
coatit1,3,3,False,3,OBS4894765393,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
blutit,18,18,False,18,OBS4894765381,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
gretit1,14,14,False,14,OBS4894765377,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
skylar,2,2,False,2,OBS4894765384,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
comhom1,1,1,False,1,OBS4894765390,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
comchi1,1,1,False,1,OBS4894765391,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
lottit1,6,6,False,6,OBS4894765394,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
eurnut2,2,2,False,2,OBS4894765386,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
winwre4,10,10,False,10,OBS4894765383,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
eurbla,8,8,False,8,OBS4894765385,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
eurrob1,14,14,False,14,OBS4894765379,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
dunnoc1,1,1,False,1,OBS4894765389,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
houspa,15,15,False,15,OBS4894765380,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
eurgol,3,3,False,3,OBS4894765388,,S394867667,Lochend Woods,2026-09-21 10:08,Jon Curson,,,
gragoo2,1,999999999,True,X,OBS4895182749,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
pifgoo,50,50,False,50,OBS4895182747,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
cangoo,1,999999999,True,X,OBS4895182773,N,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
mutswa,1,999999999,True,X,OBS4895182759,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
mallar3,1,999999999,True,X,OBS4895182775,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
tufduc,1,1,False,1,OBS4895182772,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
wilpta1,1,1,False,1,OBS4895182771,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
comwop1,1,999999999,True,X,OBS4895182764,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
bkhgul,1,999999999,True,X,OBS4895182752,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
comgul1,1,999999999,True,X,OBS4895182756,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
euhgul1,1,999999999,True,X,OBS4895182757,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
gbbgul,1,1,False,1,OBS4895182762,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
lbbgul,1,999999999,True,X,OBS4895182765,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
litgre3,2,2,False,2,OBS4895182753,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
grecor1,1,999999999,True,X,OBS4895182763,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
gryher1,1,1,False,1,OBS4895182767,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
eurkes2,1,1,False,1,OBS4895182758,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
eurmag4,1,1,False,1,OBS4895182746,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
eurjac,1,999999999,True,X,OBS4895182750,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
rook1,1,999999999,True,X,OBS4895182760,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
carcro1,1,999999999,True,X,OBS4895182770,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
banswa,4,4,False,4,OBS4895182748,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
lottit1,1,999999999,True,X,OBS4895182761,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
eurwre7,1,999999999,True,X,OBS4895182768,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
eurrob1,1,999999999,True,X,OBS4895182774,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
grywag,1,1,False,1,OBS4895182754,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
meapip1,5,5,False,5,OBS4895182766,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
comcha,3,3,False,3,OBS4895182751,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
eurlin1,1,999999999,True,X,OBS4895182769,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
eurgol,1,999999999,True,X,OBS4895182755,,S394917080,Threipmuir Reservoir,2026-09-21 10:10,Dan F.,,,
cowpig1,5,5,False,5,OBS4894741543,,S394865650,Edinburgh Old Town,2026-09-21 10:34,Mark Brown,,,
gragoo,250,250,False,250,OBS4895457976,,S394951627,Musselburgh--Levenhall Links (General),2026-09-21 11:15,Dylan Daunt,,,
brant,1,1,False,1,OBS4895457952,,S394951627,Musselburgh--Levenhall Links (General),2026-09-21 11:15,Dylan Daunt,,,
